Lon	 Lat
171.959415 	 -83.705495 
171.959415 	 -83.705495 
171.959415 	 -83.705495 
171.963385 	 -83.705155 
171.963385 	 -83.705155 
171.963385 	 -83.705155 
171.967333 	 -83.704812 
171.967333 	 -83.704812 
171.967333 	 -83.704812 
171.967333 	 -83.704812 
171.971265 	 -83.704467 
171.971265 	 -83.704467 
171.971265 	 -83.704467 
171.975182 	 -83.704113 
171.975182 	 -83.704113 
171.975182 	 -83.704113 
171.975182 	 -83.704113 
171.979048 	 -83.703758 
171.979048 	 -83.703758 
171.979048 	 -83.703758 
171.982885 	 -83.703397 
171.982885 	 -83.703397 
171.982885 	 -83.703397 
171.986705 	 -83.703032 
171.986705 	 -83.703032 
171.986705 	 -83.703032 
171.986705 	 -83.703032 
171.990515 	 -83.702667 
171.990515 	 -83.702667 
171.990515 	 -83.702667 
171.994313 	 -83.702302 
171.994313 	 -83.702302 
171.994313 	 -83.702302 
171.998093 	 -83.701937 
171.998093 	 -83.701937 
171.998093 	 -83.701937 
171.998093 	 -83.701937 
172.001878 	 -83.701567 
172.001878 	 -83.701567 
172.001878 	 -83.701567 
172.005655 	 -83.701197 
172.005655 	 -83.701197 
172.005655 	 -83.701197 
172.009417 	 -83.700823 
172.009417 	 -83.700823 
172.009417 	 -83.700823 
172.009417 	 -83.700823 
172.013162 	 -83.700452 
172.013162 	 -83.700452 
172.013162 	 -83.700452 
172.016890 	 -83.700087 
172.016890 	 -83.700087 
172.016890 	 -83.700087 
172.020613 	 -83.699720 
172.020613 	 -83.699720 
172.020613 	 -83.699720 
172.024313 	 -83.699355 
172.024313 	 -83.699355 
172.024313 	 -83.699355 
172.024313 	 -83.699355 
172.028010 	 -83.698990 
172.028010 	 -83.698990 
172.028010 	 -83.698990 
172.031707 	 -83.698627 
172.031707 	 -83.698627 
172.031707 	 -83.698627 
172.035397 	 -83.698267 
172.035397 	 -83.698267 
172.035397 	 -83.698267 
172.035397 	 -83.698267 
172.039065 	 -83.697907 
172.039065 	 -83.697907 
172.039065 	 -83.697907 
172.042712 	 -83.697548 
172.042712 	 -83.697548 
172.042712 	 -83.697548 
172.046342 	 -83.697192 
172.046342 	 -83.697192 
172.046342 	 -83.697192 
172.046342 	 -83.697192 
172.050012 	 -83.696840 
172.050012 	 -83.696840 
172.050012 	 -83.696840 
172.053752 	 -83.696495 
172.053752 	 -83.696495 
172.053752 	 -83.696495 
172.053752 	 -83.696495 
172.057533 	 -83.696163 
172.057533 	 -83.696163 
172.057533 	 -83.696163 
172.061355 	 -83.695838 
172.061355 	 -83.695838 
172.061355 	 -83.695838 
172.065167 	 -83.695517 
172.065167 	 -83.695517 
172.065167 	 -83.695517 
172.065167 	 -83.695517 
172.068975 	 -83.695195 
172.068975 	 -83.695195 
172.068975 	 -83.695195 
172.072777 	 -83.694877 
172.072777 	 -83.694877 
172.072777 	 -83.694877 
172.076592 	 -83.694562 
172.076592 	 -83.694562 
172.076592 	 -83.694562 
172.076592 	 -83.694562 
172.080413 	 -83.694247 
172.080413 	 -83.694247 
172.080413 	 -83.694247 
172.084227 	 -83.693935 
172.084227 	 -83.693935 
172.084227 	 -83.693935 
172.084227 	 -83.693935 
172.088057 	 -83.693622 
172.088057 	 -83.693622 
172.088057 	 -83.693622 
172.091895 	 -83.693303 
172.091895 	 -83.693303 
172.091895 	 -83.693303 
172.095755 	 -83.692980 
172.095755 	 -83.692980 
172.095755 	 -83.692980 
172.099558 	 -83.692662 
172.099558 	 -83.692662 
172.099558 	 -83.692662 
172.099558 	 -83.692662 
172.103345 	 -83.692338 
172.103345 	 -83.692338 
172.103345 	 -83.692338 
172.107110 	 -83.692017 
